"Could have been a second for @MesutOzil1089 there, but this time he doesn't quite connect. Strong start from the boys 💪 (15')

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/QzqhxlZlh5",German,Indo-European,,NonNative
"And in the red corner 🥊

#U21EURO #AUTGER https://t.co/Q3LFCJP3gf",German,Indo-European,,NonNative
"32 - Austria have beaten Germany for the first time in almost 32 years and after 10 games without a win (D1 9L), when they won 4-1 back in October 1986. Eternity. #AUTGER https://t.co/cl42lWsRR5",German,Indo-European,,NonNative
"#U21EURO Matchday! 🎉🙌⚽️

🇩🇰🆚🇷🇸  
🇦🇹🆚🇩🇪  
#DENSRB #AUTGER https://t.co/8zq4j7IF7Z",German,Indo-European,,NonNative
"""A lot was bad today.""

No smiles from Joachim Löw after Germany's loss to Austria. #AUTGER https://t.co/0bEURaEoMe",German,Indo-European,,NonNative
Austria has just beaten Germany 2-1. Feels as if we had won the World Cup #AUTGER https://t.co/wvqSPW7g4V,German,Indo-European,,NonNative
"A thrilling first half comes to an end and this one could go either way. 

#U21EURO #AUTGER 1-1 (45') https://t.co/xrusbnt8HC",German,Indo-European,,NonNative
"HT | Austria 0-1 Germany 

#AUTGER https://t.co/BCPxF6SGXX",German,Indo-European,,NonNative
"Our first change of the night: 

Suat Serdar is introduced in place of Florian Neuhaus 🔄
 
#U21EURO #AUTGER 1-1 (56') https://t.co/abeXKA0K8m",German,Indo-European,,NonNative
"Robin #Koch is on for Maxi #Eggestein with seven minutes left to play. 🔄

#U21EURO #AUTGER 1-1 https://t.co/h3jRwXKihp",German,Indo-European,,NonNative
"💬 ""It didn't really sink in until we were on the bus.""

@henrichs39 talks about reaching the semi-finals and his unfortunate suspension 👉
 https://t.co/Dhl8TTZdP2

#U21EURO #AUTGER https://t.co/eoV8Ypbzii",German,Indo-European,,NonNative
„A Quarter Pounder with Cheese?“ #AUTGER https://t.co/ijz2y6kDog,German,Indo-European,,NonNative
MATCHDAY 🇦🇹 🇩🇪 #AUTGER #U21EURO #OEFB https://t.co/NsETYRPxy9,German,Indo-European,,NonNative
"HINTEREGEEEEEEEEEEEEER!!!!!! ❤️

What a hit son! He learnt that at #FCA, you know 😉 #AUTGER https://t.co/rGUXnfnJhw",German,Indo-European,,NonNative
"⏰ FULL TIME! ⏰

🇩🇪 Holders Germany qualify for semi-finals
🇩🇰 Second-placed Denmark miss out on last four
🇦🇹 Austria finish third in Group B

#U21EURO #DENSRB #AUTGER",German,Indo-European,,NonNative
"RUN, BOY, RUN!🏃‍♂️🌬️

👀 @jonatah 

⚽️ 1:1 #AUTGER 
#U21 🇩🇪 #Herzzeigen https://t.co/xVbzmLHczQ",German,Indo-European,,NonNative
"One step closer, Flo! 🇩🇪

#DieFohlen #AUTGER https://t.co/zvDr4dYbdZ",German,Indo-European,,NonNative
Joachim Löw said he will sit down with Manuel Neuer on Sunday once more before he makes his final decision on whether to include him in the squad. #AUTGER,German,Indo-European,,NonNative
"*starts a Marco Reus prayer circle*

rt to be in the circle

#autger",German,Indo-European,,NonNative
"Austrian reaction to first victory against Germany in over 30 yrs, predictably subdued. Today’s @krone_at...#AUTGER https://t.co/A9RNUfPqcy",German,Indo-European,,NonNative
"💬 Stefan #Kuntz: ""We pulled ourselves through. It was a step forward - a small one, but it was incredibly difficult.""

#U21EURO #AUTGER https://t.co/eMNJgFvlm3",German,Indo-European,,NonNative
"Austria have just beaten the World Champions Germany 2-1... 

#AUTGER https://t.co/Lhq61UTJFe",German,Indo-European,,NonNative
"Congrats on another winner for your country tonight, Alessandro #Schöpf! 🇦🇹👏 #AUTGER #s04 https://t.co/Aqe81EB40i",German,Indo-European,,NonNative
What. A. Shot! Luka! #AUTGER,German,Indo-European,,NonNative
Look who’s back! 👀 💛 @woodyinho in his return #AUTGER https://t.co/dcjEtaNBnL,German,Indo-European,,NonNative
"🇦🇹2⃣🆚1️⃣🇩🇪 #AUTGER

Kevin Trapp was an unused substitute and Julian Draxler came off the bench as Germany fell 2-1 to Austria in a @FIFAWorldCup preparation friendly. 

🏆 #PSGWorldCup https://t.co/p5fIQnUXY6",German,Indo-European,,NonNative
Manuel Neuer's wifa Nina at #AUTGER yesterday https://t.co/hX3HoLXUNK,German,Indo-European,,NonNative
"A half-time substitution sees @BastiRudy replace @SamiKhedira 🔁 On we go in Klagenfurt! (46')

#DieMannschaft #ZSMMN #AUTGER 0-1 https://t.co/4Ku6Cs4NPi",German,Indo-European,,NonNative
Germany are winless in 5 successive matches for the first time since October 1987 to March 1988 under Franz Beckenbauer. #AUTGER,German,Indo-European,,NonNative
Surprise defeat for #Germany. #FriendlyMatch #AUTGER https://t.co/gzsBLd8BMr,German,Indo-European,,NonNative
no wagner - no party😂 #AUTGER,German,Indo-European,,NonNative
"Austria equal their national team record of 7 consecutive victories, set from December 1933 to May 1934. #AUTGER",German,Indo-European,,NonNative
"7 - Austria have won all of their last 7 international games, equalling their longest winning streak in history (December 1933 to May 1934). Historic. #AUTGER",German,Indo-European,,NonNative
"Oh boy. Austria denied the lead by the post.

#U21EURO #AUTGER 1-1 (45')",German,Indo-European,,NonNative
"Update: Austria  0 Vs 1 Germany.

51 mins naim dem don play so far. Person wey score Na Mesut Ozil.

#AUTGER",German,Indo-European,,NonNative
"Benjamin Henrichs is booked for swapping balls and will be suspended for a potential semi-final. 🙄

#U21EURO #AUTGER 1-1 (87')",German,Indo-European,,NonNative
Expected Goals vor der Pause: 1.9 zu 0.3 #autger #U21EURO #xG https://t.co/jLwDj5qjvt,German,Indo-European,,NonNative
"We (Austria), actually just beat Germany 2-1!
Don‘t care if it‘s a friendy!
We just beat the World Champions!

#AUTGER",German,Indo-European,,NonNative
Maschine! 🤷‍♂️ #Schöpf #AUTGER 2:1 #S04 https://t.co/t6O2Bx4bph,German,Indo-European,,NonNative
"Austria vs Germany ⚽️ The First 111 Years 

#AUTGER international #football results since 1907: 
🇦🇹 10 wins
🇩🇪 25 wins
✖️ 6 draws

#dataviz by @tinafrank &amp; @metropop_eu https://t.co/iRjXmpNsOe",German,Indo-European,,NonNative
"Immediately followed by a second: 

It's Nadiem #Amiri on for Marco #Richter.  🔄

Let's go, boys 💪

#U21EURO #AUTGER 1-1 (56') https://t.co/xcnRzMf1O6",German,Indo-European,,NonNative
FT 2:1! Austria come from behind to beat rivals Germany thanks to goals from #Schöpf and #Hinteregger! Immer wieder Österreich! Bravo boys! (The wait was totally worth it) #AUTGER https://t.co/O4YWZ8FKP4,German,Indo-European,,NonNative
"Danso slots it into the bottom corner and Austria are level. 

#U21EURO #AUTGER 1-1 (24')",German,Indo-European,,NonNative
"UPDATE:  Austria don score now. Na 1-1. 

#AUTGER",German,Indo-European,,NonNative
"Alex Iwobi scores for Nigeria

Mesut Ozil scores for Germany.

Arsenal fans rn 😭 #ENGNGA #AUTGER https://t.co/peepG2O3RY",German,Indo-European,,NonNative
"UPDATE: O boi, Austria don change am for Germany o. Na 2-1 👀 Watin dey happen? 

#AUTGER",German,Indo-European,,NonNative
"Goals from @FCA_World's Martin #Hinteregger and @s04_en's Alessandro #Schöpf have turned the tide for Austria, who now lead @DFB_Team_EN 2-1! 🇦🇹🇩🇪 #AUTGER https://t.co/Rz6vnlUiJb",German,Indo-European,,NonNative
"🇦🇹 Danso penalty levels for Austria!

#U21EURO #AUTGER https://t.co/WbyRUMyIRS",German,Indo-European,,NonNative
text,German,Indo-European,,NonNative
The #Bahncard is about ethics in games journalism,German,Indo-European,,NonNative
#BAHNCARD 100 FIRST CLASS generation 60+: main European states got it. #GERMANY no! #Austria: http://t.co/fLDSiQ4e8K http://t.co/ScAQ8HzHUa,German,Indo-European,,NonNative
"#DB
Happy Birthday: Die #BahnCard wird 25!
https://t.co/C6ay287DAQ",German,Indo-European,,NonNative
"Interesting. Despite DB’s protests, HR maintains that abolishing the #BahnCard is still on DB board agenda next week http://t.co/iv5cfH15Wy",German,Indo-European,,NonNative
Can't believe I found it!!! @DB_Bahn #bahncard http://t.co/umwZ4MQscK,German,Indo-European,,NonNative
"keep away from sneaky offers by Deutsche Bahn - #bahncard is a fraud, they ask for annual subscription which cannot be cancelled unless it is cancelled straight away https://t.co/N0A3wSqwGH",German,Indo-European,,NonNative
Got this 25% discount on ALL DB trains in Germany but can't maximize it haha. I need one more trip before Feb29 to say it's sulit. #bahncard https://t.co/XfbuQPVniT,German,Indo-European,,NonNative
Other negative opinions about Bahncard: http://j.mp/zm55q? #bahncard,German,Indo-European,,NonNative
So happy this has arrived #bahncard #travel #erasmus #germany http://t.co/QoTQHm0IYh,German,Indo-European,,NonNative
#hate #bahncard ? 9 people agree. More on Bahncard page: http://j.mp/zm55q?,German,Indo-European,,NonNative
"#ICantBreathe 
#AutumnStatement 
#traineauLDLC 
#MafiaCapitale  
#Bahncard

Syria
http://t.co/tS8wlsFlix",German,Indo-European,,NonNative
#Bahncard (Deutsche Twitter Trends am 10.01.2020) https://t.co/vxW9131Dfc https://t.co/0VDWRwbjIc,German,Indo-European,,NonNative
@LNeckermann Who is in for a #crowdfunding of a #bahncard sneaker as @bladewing678 has suggested?,German,Indo-European,,NonNative
"@ant_scholkmann #Stockholm airport is the same. Now, given the number of faculty commuters with #BahnCard 50/100, why don’t we lobby @DB_Bahn for subscribing to #EDUROAM?",German,Indo-European,,NonNative
Just received my @DB_Bahn #BahnCard! A big THANKS to @msg_group for helping me to be more environmentally friendly during business trips 🚆🌱😁 https://t.co/XOP6HlIsFC,German,Indo-European,,NonNative
Rage against the machine - chillin in the train yahhh...guter Song zum Bahnfahren mit #BahnCard #db,German,Indo-European,,NonNative
lesson learned: don't forget to cancel your #bahncard six weeks before the period ends!,German,Indo-European,,NonNative
Long term goal: #BahnCard 100.,German,Indo-European,,NonNative
Rick Steve's #BahnCard cancellation form: http://ow.ly/4PiL5,German,Indo-European,,NonNative
"RailwayStations 🚉
@android_oma @khgdrn
#dbHackathon #dbOpendata

#Bahnhofsfoto 📷
#Heimenkirch

#Huimekirch @db_bahn @streckenagentAS #BayernTicket #BahnCard #Marktgemeinde @Allgaeu @AllgaeuHIT

#Houmpeitsch
https://t.co/cWs2ONCvE5
https://t.co/M9YChQiBMd
https://t.co/tmJ9lZm35W https://t.co/nJGTP4JxKv",German,Indo-European,,NonNative
Great #Bahncard offer from @deutschebahncom 2 Bahncards for just €19  http://t.co/8VmYlE0t2C,German,Indo-European,,NonNative
"#Hidden #Unseen #Online #Status, #No Seen, No Last #Seen is the best android app to hide read #sign, hide blue #tick, #hide last seen status, #Unseen no last seen for #whatsapp
#Google Play Link   https://t.co/ehA7UniU51

#StopAdani
#IBES
#Bahncard
#Höcker
#Siemens
#Schulen",German,Indo-European,,NonNative
#BahnCard 50 without problems downgraded via email to BahnCard 25 because move to Switzerland,German,Indo-European,,NonNative
Helping a friend with train travel in #Germany last night and found out the #BahnCard 25 now comes in a trial version http://t.co/WxROMjSnRx,German,Indo-European,,NonNative
"Ready to tour Europe. 🙋

#railcard #bahncard #railplus https://t.co/Oo9d782g5R",German,Indo-European,,NonNative
took them a week to send it #bahncard http://t.co/GEemO7nI,German,Indo-European,,NonNative
My #Bahncard arrived today. Now I will be saving some money off the next trips....and there won't be few :-),German,Indo-European,,NonNative
Yay! Back to comfort. #bahncard  @ Schwarmstedt http://t.co/thzBZGxe,German,Indo-European,,NonNative
#BahnCard for #Startups - really cool idea! And @DeutscheBahn_AG seems to be interested! #swwtfc,German,Indo-European,,NonNative
"#TravelTips: If planning to travel in #Germany by train, invest in a #BahnCard for discounted fares. http://t.co/FJkfi1pFn3 #SeeTheWorld",German,Indo-European,,NonNative
Is it worth getting a #bahncard 50 1 klasse? 515 eur instead of 255 eur. I know it depends on one's usage but interested in your own experience.,German,Indo-European,,NonNative
"Linkspartei leader Katja Kipping has called on the federal government to make further drastic improvements to the railways as a contribution to climate protection. #Linke #Bahn #bahncard 
https://t.co/Mv9fp7ybOZ",German,Indo-European,,NonNative
With the #BahnCard 100 from Hamburg to any station in Denmark: Exchange money on the ferry and buy your ticket with the Danish Crew for 21€.,German,Indo-European,,NonNative
Incredibly disappointed with the appalling customer service from #bahncard. They won't see reason and just want to extort money #bahn #db,German,Indo-European,,NonNative
"#USAGBavariaCulturalTips: Price of Deutsche Bahn #BahnCard decreases.

• BahnCard 25 will cost €55.70 for 2nd class (instead of €62).

• BahnCard 50 will cost €229 for 2nd class (instead of €255).

https://t.co/4lUwB71ECE",German,Indo-European,,NonNative
"I've been using @DB_Bahn for almost 2 months with the trial #BahnCard 100 and I must say I'm really enjoying it. I think their service is better than it's reputation. Friendly people, almost all trains arrived on time.",German,Indo-European,,NonNative
"""How Germany can screw you debtwise""  by stalinsmoustache http://t.co/nCb7z4OQ
 #TotalDepravity #BahnCard #Debt",German,Indo-European,,NonNative
#BahnCard came in the mail the other day. Watch out Deutschland and watch out January this guy is about to be all over the country,German,Indo-European,,NonNative
"Function Plotter is such a useful #Windows10 #Windows10Mobile tool, seen here helping me pick the right #Bahncard https://t.co/9sh98HIwZ0 https://t.co/9NIjswFDus",German,Indo-European,,NonNative
Lame excuses! What if @DB_Bahn @VVS would reshape their services in a UC way and allow general  #bahncard discounts. https://t.co/lutDEj7HBX,German,Indo-European,,NonNative
"I'm too much of a tightwad to splurge on another #Bahncard First. So, I find myself reduced to a second class Bahncards - and (hopefully) enough bonus points to buy first class upgrades for the rest of the year ;)",German,Indo-European,,NonNative
"Punctual as German Rail Road @DB_Bahn : ""We request your payment till 30th Dec. 1899.""
#backtothefuture - New reloaded. #BahnCard https://t.co/oR2wOgYhgF",German,Indo-European,,NonNative
"#Caller Name Speaker - Transform your android device into a personal assistant #telling you who is calling.
Visit Blog: https://t.co/adQg2tq6Gu 
#Google Play Link  https://t.co/RZ9MnakQC2

#StopAdani
#IBES
#Bahncard
#Höcker
#Siemens
#Schulen
#azubi
#Privatperson
#Mittagspause https://t.co/VhJ6z1SxdZ",German,Indo-European,,NonNative
Hello most expensive card of the year! Nice to see you again! #bahncard http://t.co/17svVH2,German,Indo-European,,NonNative
6 simple tips that will help you save money on train travel in Germany https://t.co/SrTrIu85aS #bahncard #traintravel #germantrain https://t.co/m8J1nfeWtV,German,Indo-European,,NonNative
"Deutsche Bahn informed me my wife's BahnCard discount travel card was automatically renewed. But she had already returned to USA. When I appealed to DB Customer Service, they said the account has been turned over to a collection agency. OUTRAGEOUS! I will fight it. #BAHNCARD",German,Indo-European,,NonNative
Good thing about 1st class #Bahncard is that you can still buy 2nd class tickets - bad thing is I've got used to roomy uncrowded 1st class.,German,Indo-European,,NonNative
Note to self: When ICE train ticket (25% #Bahncard discount) is only 1€ more expensive than regional train (local fare - no discount) ...,German,Indo-European,,NonNative
Really excited about my 1st ever 1st class trip with new 1st class #BahnCard. #deutschebahn has dampened my enthusiasm with 55 min delay :(,German,Indo-European,,NonNative
Train ticket to #Basel for the weekend: booked! Good thing I have a Bahncard 50! Otherwise: 160€ - crazy!!! #DB #Bahncard,German,Indo-European,,NonNative
"They do what they want, they do what they want, it's the Aufsichtsrat of the Deutsche Bahn, they do what they want #bahncard",German,Indo-European,,NonNative
I'm a bit more German everyday. #bahncard #travel http://t.co/zQsHRbHg,German,Indo-European,,NonNative
@patrickdet @DB_Bahn One does not simply cancel a #BahnCard after one year...,German,Indo-European,,NonNative
Can't believe that #deutschebahn still checks the #bahncard for every owner of a PERSONALIZED ticket! It's in your database! @dbmindbox 🤦‍♂️,German,Indo-European,,NonNative
... on last leg of journey free internet. Def upgrading to 1st class #Bahncard with credit card (loyalty points remain valid) #deutschebahn,German,Indo-European,,NonNative
Looks like I won't qualify for #bahncomfort next year unless I get a few more rail trips in. Considering upgrading to 1st class #Bahncard.,German,Indo-European,,NonNative
"It's sometimes cheaper to buy a ticket for a fast train than to buy a ticket for the regional train. 😁Of course, you can use the ticket for fast trains on regional trains as well. (I saved 45 cents...) #germantrains #bahncard",German,Indo-European,,NonNative
Thanks @DB_Bahn for your help! That was some great #customerservice! Looking forward to getting my #BahnCard in the mail!,German,Indo-European,,NonNative
"Honestly, fuck @DB_Bahn not giving me a reduced #BahnCard after tricking me into a subscription. Won’t pay for this shit!",German,Indo-European,,NonNative
"If you are #traveling by #train in #Germany and are buying a ticket in a train station through #deutschebahn, it is important to understand what the #BahnCard is. Keep in mind: You can cancel your #subscription within a certain period of time. Read more: https://t.co/fVA0MpXkk8 https://t.co/TnsrscAedn",German,Indo-European,,NonNative
"@DB_direkt how to get rid of your best customers: no service, no refund, no trains to austria. #bahncard fee to pay, no use of it possible.",German,Indo-European,,NonNative
Can't print my #Bahncard at the #DB automat while their hotline told me that would work #DeutscheBahn #fail,German,Indo-European,,NonNative
"finally gave @DB_Bahn another chance after years of avoidance - took a common route - stgt &lt;-&gt; ma - had significant delays in both directions (1x technical default of train, 1x no information). so giving away my #bahncard was the right decision.",German,Indo-European,,NonNative
"Just realized how the checkout for purchasing a #bahncard is not as updated and optimized as the one for purchasing a #bahnticket @db_bahn. A example of  partitioning, prioritizing and then optimizing ux/ui when it comes to big websites.",German,Indo-European,,NonNative
@mattLefaux @T3RevNeverEnd lets fund #bahncard 100s and have some fun 😘it would be also a stresstest for #wlanonice which might get paid 🤔,German,Indo-European,,NonNative
Oh well @DB_Bahn. This package doesn't qualify as a gift per se. It is nice to have however #bahncard :) https://t.co/HccUOpwwsg,German,Indo-European,,NonNative
"hey, .@DB_Info, is your #BahnCard site in English? I'm a foreighner and I would like to understand what I have bought. Thanks.",German,Indo-European,,NonNative
Win. For weeks I haven't had a #BahnCard (replacement lost in post) and now I have two of them. Handy.,German,Indo-European,,NonNative
"All packed for #LinuxTag, arriving in #Berlin at 1600. Several trains overbooked, sometimes a 1st class #BahnCard would be desirable. :-)",German,Indo-European,,NonNative
"@Blackhalo72 @Twilight71 An alternative might be to have a system similar to @railinfo_sbb's #halbtax or @DB_Presse's #bahncard which, particularly in the Swiss case, has almost universal uptake and means that very, very few passengers pay the ""full fare"" advertised. #transportfundingmodels",German,Indo-European,,NonNative
Deutsche @Bahn believes it makes a lot of money by tricking customers with forced probe #bahncard renewals for 1 week excuse.,German,Indo-European,,NonNative
Worst #CustomerExperience in a decade. #lessonlearned never forgot your #bahncard travelling with @DB_Bahn. Had to pay 77 fine! 😡,German,Indo-European,,NonNative
"Living in #Hamburg and working in #Berlin would definitely be possible, given a cup of #coffee, a #bahncard 100 and a flexible work contract",German,Indo-European,,NonNative
@PKoppenburg @dbmindbox @sbbnews #deutschebahn told me that it is because #bahncard are managed by some other daughter company than the tickets. Serious answer :D,German,Indo-European,,NonNative
Why should I buy a #bahncard? I saved 50% of each trip I did during the last 6 month because of a high delay. @DB_Bahn,German,Indo-European,,NonNative
"#db, #Bahncard first, #bahn Comfort Kunde. Bahncard vergessen = 15€ Strafe. How to treat loyal customers like fare dodgers",German,Indo-European,,NonNative
When you didn't double check @DB_Bahn  app settings and it didn't have your #bahncard and now you spent 16€ more.😢🤦 #notmyday #facepalm,German,Indo-European,,NonNative
listening to a talking machine for nearly 5 minutes when calling your #bahncard hotline? really? @DB_Info,German,Indo-European,,NonNative
I followed your directions to email and call @db_bahn I paid for my #BahnCard but never received it. I keep getting push aside. Help!,German,Indo-European,,NonNative
"@DB_Bahn You ended #NightTrains, forced me to have a #BahnCard that I never wanted...but hey, today I am your #Fan https://t.co/2DinI8wQwZ",German,Indo-European,,NonNative
"Did you know, that more than 5mio. people have a #Bahncard to get 25% or 50% discount on train rides in Germany. #dailymobilityfact @DB_Bahn",German,Indo-European,,NonNative
"Hi @DB_Bahn, do you have someone who deals with complaints? Ihr #bahncard Kundenservice ist unakzeptierbar. #Bahn @DB_Info",German,Indo-European,,NonNative
@jonworth  no #BahnCard 100 anymore... not allowed by @auswaertigesamt :-( as it is not seen as a proof for professional reasons only odddd,German,Indo-European,,NonNative
text,German,Indo-European,,NonNative
German farmers are staging another tractor protest. This is happening right now in Berlin. #Bauernproteste 🚜🚜🚜 https://t.co/TCQgD5OChk,German,Indo-European,,NonNative
"Thousands of farmers demonstrate at the Volksfestplatz in Nuremberg.
#Bauernproteste https://t.co/LBDXNzfDUw",German,Indo-European,,NonNative
Farmers from Bavaria and Thuringia on their way to Berlin to protest the state's agricultural policies. On their tractors. #Bauernproteste #Bauernprotest https://t.co/xAgF0ZGwyb,German,Indo-European,,NonNative
"My favourite from today's #Sternfahrt in #Berlin: 'Without farmers you would be hungry, naked and sober.'

#Agrarpaket #Bundesregierung #LandSchafftVerbindung #Bauernprotest #Bauerndemo #Demo #Demonstration #TraktorDemo #Bauernprotest #bauernproteste #Landwirte https://t.co/1LReFaEzkF",German,Indo-European,,NonNative
"#Bauernproteste-Farmers demo in Hamburg today!
https://t.co/V4mwlYYslA",German,Indo-European,,NonNative
From the farmers strike in #Berlin today! #Bauerndemo #Bauernproteste https://t.co/mybPW4hhQS,German,Indo-European,,NonNative
"German farmers are honking their way through Berlin on giant tractors protesting conditions and (judging by the banners on the tractors) low food prices? 
Despite EU agro subsidies. Has the EU been scaling back on those? What are the short and long term dynamics? #Bauernproteste",German,Indo-European,,NonNative
"There's a lot of tractors in Berlin today!

https://t.co/0NBeY12zAR

#Bauernproteste",German,Indo-European,,NonNative
"#Bauernproteste 
#Bauernprotest in #Berlijn
 video  from her :https://t.co/dpT7xeqvMh https://t.co/9tcwSnLPJ6",German,Indo-European,,NonNative
".@HopeInTheUSA today in Germany -  Berlin
#boerenprotest #Bauernproteste 
https://t.co/vrK0gbDB60",German,Indo-European,,NonNative
"Farmers' protests in #Germany and #Spain, and in both countries the governments are just talking to the big supermarket chains - this will not change anything! 
#agriculture #bauernproteste #leydepreciosmínimosya
https://t.co/5MPZo1xtZC",German,Indo-European,,NonNative
"Wow!
Power to the people! 👩🏼‍🌾Farmers👨🏼‍🌾 ain't playing no more! 🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜🚜

#Bauernproteste #Bauerndemo #Traktorensternfahrt #Traktordemo https://t.co/UUb8L6HYtn",German,Indo-European,,NonNative
Patience is a wonder #Bauernproteste #weekend #friday #wevechtenvooronzeboeren https://t.co/YC55jFg8LD,German,Indo-European,,NonNative
"Sometimes documenting daily life, today st #Bauerndemo Munich!
#munich #bauernproteste #needtochange https://t.co/inXpigSwIX",German,Indo-European,,NonNative
"#TraktorenDemo, Farmer's Protest / #Bauernproteste #Stuttgart, Germany, 22... https://t.co/tdSCfKertL via @YouTube",German,Indo-European,,NonNative
"Very important step in the right direction - farmers and environmentalists starting to talk to each other.
#WHES2020
#tractorprotest 
#LandschafftVerbindung 
#Bauernproteste 
@WirHabenEsSatt2 
@Umweltbundesamt
@LandschafftS  
@bund_net 
https://t.co/pHPlfk8ZDP",German,Indo-European,,NonNative
German media is ignoring this today when they report on the #bauernproteste. What is wrong with modern journalism? The protests weren’t a local/German idea. https://t.co/E0nm1EbX2o,German,Indo-European,,NonNative
"German farmers are demonstrating against more and more environmental protection laws and low prices that make life difficult for them. 
#Bauernproteste
#Treckerdemo
#Bauerndemo
#GruneWoche
#GrueneWoche
@@dw_business 
@dw_wirtschaft https://t.co/jRaCC6keCi",German,Indo-European,,NonNative
"this is how 100+ scientists envision the future of german agriculture in 2049. farmers are an important part of this change. #whatisemerging #agrar2049 #dafa #visualfacilitators #Bauernproteste
https://t.co/gmoL2PlF3l",German,Indo-European,,NonNative
We were wondering why we could hear such loud horns blaring from the office window in #Berlin today. Turns out it's a zillion angry farmers. #Bauernproteste https://t.co/JSWz5rxQb2,German,Indo-European,,NonNative
"Friendly #DailyReminder: despite #technology, healthy #food is still NOT produced in automated #factories, but by hard-working #farmers.

#Bauern
#Bauernproteste",German,Indo-European,,NonNative
"The #MonetaryGift for #CarlaBruni appears to be ROUGHLY the same fraction of #Paulson's net worth than the fraction of #Traktoren during the #Bauernproteste who sported 'controversial' banners (roughly 0.5 per mille). Cf. https://t.co/maHHlYsf7T

#QuantitativeThinking 
#Ratios https://t.co/6fmguotDiv",German,Indo-European,,NonNative
Impressive pictures! Farmers from Bavaria and Thuringia on their way to Berlin. On their tractors. #Bauernproteste #Bauernprotest #farmersprotest #boerenprotest https://t.co/hAgfXLSsnV,German,Indo-European,,NonNative
@BARBARtkowski Many individual farmers also stood at home and did not go to the #Bauerndemo #bauernproteste,German,Indo-European,,NonNative
@Princ3ss_Ang3la Or you can do about farmers doing a protest in Germany https://t.co/lSHPTRNuPR #bauernproteste,German,Indo-European,,NonNative
"'Ideology can't fill your stomach' (#FridaysForFuture take note!)
'Farming in a stranglehold between Environmentalism and Economy' say the signs.
German farmers want the govt to talk with them, not pass laws without their participation. 
#Bauerndemo #bauernproteste https://t.co/pBuYlF8r3y",German,Indo-European,,NonNative
"Paradoxically, these #bauernproteste will have the exact opposite effect as desired. We now know that they are fighting against a better environment, poor farmers in S. America, and the condition of the animals under their care.

Yesterday, I did not know this.",German,Indo-European,,NonNative
text,German,Indo-European,,NonNative
from Berlin🌸💜🖤#DerSchwarzeSchwan https://t.co/shkzUCsmkx,German,Indo-European,,NonNative
#DerSchwarzeSchwan endlich mit video 😍 https://t.co/8wD3swwicG,German,Indo-European,,NonNative
"#DerSchwarzeSchwan 

LET‘S GET IT 💜 https://t.co/q77jMS2bFE",German,Indo-European,,NonNative
Platz 2 🎉. #DerSchwarzeSchwan https://t.co/mOSPfMw7FI,German,Indo-European,,NonNative
i’m streaming from erfurt 🖤🦢 @BangtanGER_twt #DerSchwarzeSchwan https://t.co/75yhnZObss,German,Indo-European,,NonNative
"German Armys are currently doing a 'Black Swan’ streaming party and the hashtag that they are using: #DerSchwarzeSchwan = The Black Swan has just reached Number #1 on Germany Twitter Trends! 
Congratulations 💜👏🏼 https://t.co/7zLhVm4Wff",German,Indo-European,,NonNative
"We can do this 🇩🇪-&gt; #1
Our time to shine #DerSchwarzeSchwan
@BTS_twt https://t.co/FZRaui0qyD",German,Indo-European,,NonNative
a streaming tag is trending in germany I'm so proud #DerSchwarzeSchwan https://t.co/hBKSxxYMXm,German,Indo-European,,NonNative
go germany!! 😁 #DerSchwarzeSchwan https://t.co/62rRGv3eFg,German,Indo-European,,NonNative
"LET‘S GET ITTTT GERMAN ARMYS 
#DerSchwarzeSchwan https://t.co/5hDx7Q3nDD",German,Indo-European,,NonNative
"Throwback to Hobi's German - so freaking good 😍💜
#DerSchwarzeSchwan
 https://t.co/Fv73JzXqfk",German,Indo-European,,NonNative
German ARMYs trending with a streaming hashtag. #DerSchwarzeSchwan https://t.co/EgAHmxmBJv,German,Indo-European,,NonNative
"this part will be stuck in my head forever 
#derschwarzeschwan https://t.co/wtLLILnR2e",German,Indo-European,,NonNative
German ARMYs have started a streaming party under #DerSchwarzeSchwan. Feel free to join us. ☺️ https://t.co/Qiflbbzoii,German,Indo-European,,NonNative
"WE CAN DO IT,ARMYs💜
#DerSchwarzeSchwan https://t.co/tZIrzSqQi4",German,Indo-European,,NonNative
"Okay German ARMY! 💜
We did it and we can hold it!
#DerSchwarzeSchwan
#BlackSwan https://t.co/1e0ofIWJs4",German,Indo-European,,NonNative
Let’s go German Army! #DerSchwarzeSchwan https://t.co/JaZt90LiwL,German,Indo-European,,NonNative
"Keep streaming fam 💜💜💜 @BTS_twt
#DerSchwarzeSchwan https://t.co/O4Km03dN45",German,Indo-European,,NonNative
"Day 4 here we go!! 🖤🦢
#DerSchwarzeSchwan https://t.co/iiDUAsKLnd",German,Indo-European,,NonNative
"Let's go!!!
#DerSchwarzeSchwan https://t.co/MjkzLCuPmJ",German,Indo-European,,NonNative
omg German ARMYS we’re doing great! Let’s go for #1 🤩 #DerSchwarzeSchwan https://t.co/E57hp4sKwy,German,Indo-European,,NonNative
Und mit Video! 💕😊 #DerSchwarzeSchwan https://t.co/TDnxHWRnpQ,German,Indo-European,,NonNative
